SSHversion,Percentage,Cipher,Percentage
SSH-2.0-PuTTY_KiTTY,0.06,aes128-gcm@openssh.com,16.43
SSH-2.0-libssh2_1.10.0,0.82,aes128-ctr,14.63
SSH-2.0-PuTTY_Release_0.65,0.06,aes256-gcm@openssh.com,68.90
SSH-2.0-OpenSSH_9.0,0.04,aes256-ctr,0.05
SSH-2.0-PuTTY_Release_0.67,0.04,,
SSH-2.0-OpenSSH_8.9p19,0.21,,
SSH-2.0-libssh-0.2,1.94,,
SSH-2.0-WinSCP_release_5.7.6,0.04,,
SSH-2.0-paramiko_2.0.2,0.13,,
SSH-2.0-WinSCP_release_3.8.1,0.13,,
SSH-2.0-paramiko_1.8.1,0.19,,
SSH-2.0-paramiko_2.1.1,0.06,,
SSH-2.0-WinSCP_release_5.7.5,0.06,,
SSH-2.0-OpenSSH_5.9,0.04,,
SSH-2.0-OpenSSH_6.0,0.04,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.08,,
SSH-2.0-WinSCP_release_5.7.4,0.13,,
SSH-2.0-paramiko_1.10.1,0.04,,
SSH-2.0-PuTTY_Release_0.58,0.06,,
SSH-2.0-paramiko_2.0.0,0.10,,
SSH-2.0-paramiko_1.7.7.1,0.02,,
SSH-2.0-Go,16.64,,
SSH-2.0-libssh_0.5.5,0.04,,
SSH-2.0-PuTTY_Release_0.62,0.15,,
SSH-2.0-WinSCP_release_5.1.3,0.17,,
SSH-2.0-OpenSSH_5.2,0.02,,
SSH-2.0-PuTTY_Release_0.60,0.13,,
SSH-2.0-paramiko_2.12.0,0.88,,
SSH-2.0-Nmap_SSH2_Hostkey  ,0.06,,
SSH-2.0-OpenSSH_6.2,0.08,,
SSH-2.0-OpenSSH_6.0p,0.02,,
SSH-2.0-paramiko_1.7.5,0.06,,
SSH-2.0-Granados-1.0,0.08,,
SSH-2.0-OpenSSH_4.3,0.02,,
SSH-2.0-paramiko_2.1.2,0.08,,
SSH-2.0-OpenSSH_5.3,0.17,,
SSH-2.0-WinSCP_release_5.2.7,0.06,,
SSH-2.0-libssh_0.4.8,0.17,,
SSH-2.0-paramiko_1.17.1,0.08,,
SSH-2.0_CoreLab-1.0,0.08,,
SSH-2.0-libssh_0.9.6,65.15,,
SSH-2.0-libssh_0.11,0.04,,
SSH-2.0-PUTTY,5.94,,
SSH-2.0-OpenSSH_6.1,0.10,,
SSH-2.0-PuTTY_Release_0.66,0.06,,
SSH-2.0-libssh-0.3.4,0.04,,
SSH-2.0-PuTTY_Release_0.63,0.25,,
SSH-2.0-WinSCP_release_4.1.9,0.08,,
SSH-2.0-JSCH_0.1.51,0.15,,
SSH-2.0-paramiko_1.15.1,0.04,,
SSH-2.0-paramiko_1.15.2,0.10,,
SSH-2.0-libssh-0.6.0,0.15,,
SSH-2.0-OpenSSH_3.9p1,0.02,,
SSH-2.0-libssh-0.1,0.06,,
SSH-2.0-WinSCP_release_5.1.5,0.08,,
SSH-2.0-paramiko_1.16.0,0.04,,
SSH-2.0-PuTTY_Release_0.62.1,0.02,,
SSH-2.0-paramiko_1.12.4,0.04,,
SSH-2.0-paramiko_2.11.0,0.04,,
SSH-2.0-paramiko_1.16.1,0.15,,
SSH-2.0-libssh2_1.9.0,3.16,,
SSH-2.0-WinSCP_release_4.3.5,0.06,,
SSH-2.0-PuTTY_Release_0.59,0.02,,
SSH-2.0-PuTTY_Release_0.61,0.08,,
SSH-2.0-PuTTY_Release_0.64,0.02,,
SSH-2.0-libssh2_1.11.0,0.77,,
